,dt,ticker,type,price,shares,amount,cash_left,transaction_cost,pnl
3152,2019-11-15,XOM,0,58.52548599243164,166.0,9715.230674743652,71299.1641292572,0.0,96.88631439208984
3153,2019-11-15,CAT,0,135.90403747558594,71.0,9649.186660766602,80948.3507900238,0.0,124.17633056640625
3154,2019-11-15,F,0,8.568422317504883,1143.0,9793.706708908081,90742.05749893188,0.0,175.08378982543945
3155,2019-11-15,COP,0,52.097862243652344,187.0,9742.300239562988,100484.35773849487,0.0,167.2516632080078
3156,2019-11-15,CSCO,1,41.44261932373047,9.0,372.9835739135742,100111.3741645813,0.0,0.0
3157,2019-11-15,DD,1,63.83858108520508,6.0,383.03148651123047,99728.34267807007,0.0,0.0
3158,2019-11-15,KHC,1,27.597444534301758,14.0,386.3642234802246,99341.97845458984,0.0,0.0
3159,2019-11-15,GM,1,35.97641372680664,10.0,359.7641372680664,98982.21431732178,0.0,0.0
3160,2019-11-15,BKNG,1,1848.8199462890625,0.0,0.0,98982.21431732178,0.0,0.0
3161,2019-11-15,NVDA,1,50.846858978271484,7.0,355.9280128479004,98626.28630447388,0.0,0.0
3162,2019-11-15,AIG,1,49.27073669433594,7.0,344.89515686035156,98281.39114761353,0.0,0.0
3163,2019-11-15,AMZN,1,86.97450256347656,4.0,347.89801025390625,97933.49313735962,0.0,0.0
3164,2019-11-15,FDX,1,151.51376342773438,2.0,303.02752685546875,97630.46561050415,0.0,0.0
3165,2019-11-15,TMUS,1,78.06999969482422,4.0,312.2799987792969,97318.18561172485,0.0,0.0
3166,2019-11-18,CSCO,0,41.49776077270508,9.0,373.4798469543457,97691.6654586792,0.0,0.4962730407714844
3167,2019-11-18,DD,0,63.09297180175781,6.0,378.5578308105469,98070.22328948975,0.0,-4.473655700683594
3168,2019-11-18,KHC,0,27.34174919128418,14.0,382.7844886779785,98453.00777816772,0.0,-3.5797348022460938
3169,2019-11-18,GM,0,35.713096618652344,10.0,357.13096618652344,98810.13874435425,0.0,-2.6331710815429688
3170,2019-11-18,BKNG,0,1838.030029296875,0.0,0.0,98810.13874435425,0.0,
3171,2019-11-18,NVDA,0,52.86140823364258,7.0,370.02985763549805,99180.16860198975,0.0,14.101844787597656
3172,2019-11-18,AIG,0,49.47172927856445,7.0,346.3021049499512,99526.4707069397,0.0,1.4069480895996094
3173,2019-11-18,AMZN,0,87.62650299072266,4.0,350.5060119628906,99876.97671890259,0.0,2.608001708984375
3174,2019-11-18,FDX,0,150.767333984375,2.0,301.53466796875,100178.51138687134,0.0,-1.49285888671875
3175,2019-11-18,TMUS,0,78.19000244140625,4.0,312.760009765625,100491.27139663696,0.0,0.480010986328125
3176,2019-11-18,DD,1,63.09297180175781,154.0,9716.317657470703,90774.95373916626,0.0,0.0
3177,2019-11-18,CSCO,1,41.49776077270508,234.0,9710.476020812988,81064.47771835327,0.0,0.0
3178,2019-11-18,KHC,1,27.34174919128418,355.0,9706.320962905884,71358.15675544739,0.0,0.0
3179,2019-11-18,GM,1,35.713096618652344,272.0,9713.962280273438,61644.19447517395,0.0,0.0
3180,2019-11-18,COP,1,50.7115592956543,191.0,9685.90782546997,51958.28664970398,0.0,0.0
3181,2019-11-18,BKNG,1,1838.030029296875,5.0,9190.150146484375,42768.136503219604,0.0,0.0
3182,2019-11-18,XOM,1,57.9587516784668,167.0,9679.111530303955,33089.02497291565,0.0,0.0
3183,2019-11-18,CVX,1,103.69466400146484,93.0,9643.60375213623,23445.42122077942,0.0,0.0
3184,2019-11-18,CAT,1,134.2953643798828,72.0,9669.266235351562,13776.154985427856,0.0,0.0
3185,2019-11-18,FDX,1,150.767333984375,64.0,9649.109375,4127.045610427856,0.0,0.0
3186,2019-11-19,DD,0,62.30018997192383,154.0,9594.22925567627,13721.274866104126,0.0,-122.0884017944336
3187,2019-11-19,CSCO,0,41.79187774658203,234.0,9779.299392700195,23500.57425880432,0.0,68.82337188720703
3188,2019-11-19,KHC,0,27.597444534301758,355.0,9797.092809677124,33297.667068481445,0.0,90.77184677124023
3189,2019-11-19,GM,0,35.47904586791992,272.0,9650.300476074219,42947.967544555664,0.0,-63.66180419921875
3190,2019-11-19,COP,0,51.131927490234375,191.0,9766.198150634766,52714.16569519043,0.0,80.29032516479492
3191,2019-11-19,BKNG,0,1845.300048828125,5.0,9226.500244140625,61940.665939331055,0.0,36.35009765625
3192,2019-11-19,XOM,0,57.36664962768555,167.0,9580.230487823486,71520.89642715454,0.0,-98.88104248046875
3193,2019-11-19,CVX,0,101.85781860351562,93.0,9472.777130126953,80993.6735572815,0.0,-170.82662200927734
3194,2019-11-19,CAT,0,133.9119110107422,72.0,9641.657592773438,90635.33115005493,0.0,-27.608642578125
3195,2019-11-19,FDX,0,148.82473754882812,64.0,9524.783203125,100160.11435317993,0.0,-124.326171875
3196,2019-11-19,DD,1,62.30018997192383,6.0,373.80113983154297,99786.31321334839,0.0,0.0
3197,2019-11-19,HD,1,210.76199340820312,1.0,210.76199340820312,99575.55121994019,0.0,0.0
3198,2019-11-19,T,1,22.632545471191406,18.0,407.3858184814453,99168.16540145874,0.0,0.0
3199,2019-11-19,CVX,1,101.85781860351562,4.0,407.4312744140625,98760.73412704468,0.0,0.0
3200,2019-11-19,BMY,1,51.900367736816406,7.0,363.30257415771484,98397.43155288696,0.0,0.0
3201,2019-11-19,GM,1,35.47904586791992,11.0,390.26950454711914,98007.16204833984,0.0,0.0
3202,2019-11-19,QCOM,1,82.31915283203125,5.0,411.59576416015625,97595.56628417969,0.0,0.0
3203,2019-11-19,CSCO,1,41.79187774658203,9.0,376.1268997192383,97219.43938446045,0.0,0.0
3204,2019-11-19,DOW,1,45.756534576416016,9.0,411.80881118774414,96807.6305732727,0.0,0.0
3205,2019-11-19,AIG,1,48.79566192626953,8.0,390.36529541015625,96417.26527786255,0.0,0.0
3206,2019-11-20,DD,0,61.394134521484375,6.0,368.36480712890625,96785.63008499146,0.0,-5.436332702636719
3207,2019-11-20,HD,0,206.13356018066406,1.0,206.13356018066406,96991.76364517212,0.0,-4.6284332275390625
3208,2019-11-20,T,0,22.144161224365234,18.0,398.5949020385742,97390.3585472107,0.0,-8.790916442871094
3209,2019-11-20,CVX,0,102.63629150390625,4.0,410.545166015625,97800.90371322632,0.0,3.1138916015625
3210,2019-11-20,BMY,0,51.8360481262207,7.0,362.8523368835449,98163.75605010986,0.0,-0.4502372741699219
3211,2019-11-20,GM,0,34.40628433227539,11.0,378.4691276550293,98542.22517776489,0.0,-11.800376892089844
3212,2019-11-20,QCOM,0,80.12921905517578,5.0,400.6460952758789,98942.87127304077,0.0,-10.949668884277344
3213,2019-11-20,CSCO,0,41.43342971801758,9.0,372.9008674621582,99315.77214050293,0.0,-3.226032257080078
3214,2019-11-20,DOW,0,45.139469146728516,9.0,406.25522232055664,99722.02736282349,0.0,-5.5535888671875
3215,2019-11-20,AIG,0,48.35713577270508,8.0,386.8570861816406,100108.88444900513,0.0,-3.508209228515625
3216,2019-11-20,HD,1,206.13356018066406,46.0,9482.143768310547,90626.74068069458,0.0,0.0
3217,2019-11-20,DD,1,61.394134521484375,157.0,9638.879119873047,80987.86156082153,0.0,0.0
3218,2019-11-20,GM,1,34.40628433227539,280.0,9633.75961303711,71354.10194778442,0.0,0.0
3219,2019-11-20,QCOM,1,80.12921905517578,120.0,9615.506286621094,61738.59566116333,0.0,0.0
3220,2019-11-20,T,1,22.144161224365234,435.0,9632.710132598877,52105.88552856445,0.0,0.0
3221,2019-11-20,FDX,1,145.71466064453125,66.0,9617.167602539062,42488.71792602539,0.0,0.0
3222,2019-11-20,DOW,1,45.139469146728516,213.0,9614.706928253174,32874.01099777222,0.0,0.0
3223,2019-11-20,SPG,1,126.57059478759766,76.0,9619.365203857422,23254.645793914795,0.0,0.0
3224,2019-11-20,CSCO,1,41.43342971801758,232.0,9612.555694580078,13642.090099334717,0.0,0.0
